Patient Name: maniqui, cuba
Patient ID: Test0001CUBA
Plan: Plan2
Course: C2
Date: martes, 11 de abril de 2023 8:05:46
Exported by: Rodriguez Rodriguez.Cesar

Start: (-0.13, -9.00, -0.10)
End:   (-0.02, 9.00, -0.10)

	Field 1
5.506528	4.875340
5.531557	4.868357
5.556587	4.861539
5.581617	4.854735
5.606646	4.847931
5.631676	4.841127
5.656706	4.834323
5.681735	4.827518
5.706765	4.820714
5.731795	4.813910
5.756824	4.807105
5.781854	4.800301
5.806884	4.793335
5.831913	4.786357
5.856943	4.779378
5.881973	4.772400
5.907002	4.765421
5.932032	4.758442
5.957062	4.751463
5.982091	4.744484
6.007121	4.737505
6.032151	4.730525
6.057180	4.723507
6.082210	4.716487
6.107240	4.709466
6.132269	4.702446
6.157299	4.695426
6.182329	4.688405
6.207358	4.681385
6.232388	4.674365
6.257418	4.667344
6.282447	4.660324
6.307477	4.653284
6.332507	4.646242
6.357536	4.639201
6.382566	4.632160
6.407596	4.625118
6.432625	4.618077
6.457655	4.611036
6.482685	4.603994
6.507714	4.596953
6.532744	4.589911
6.557774	4.583009
6.582803	4.576112
6.607833	4.569216
6.632863	4.562320
6.657892	4.555423
6.682922	4.548527
6.707952	4.541632
6.732981	4.534736
6.758011	4.527840
6.783041	4.520945
6.808070	4.514284
6.833100	4.507629
6.858130	4.500974
6.883159	4.494318
6.908189	4.487663
6.933219	4.481008
6.958248	4.474352
6.983278	4.467697
7.008308	4.461042
7.033337	4.454386
7.058367	4.448037
7.083397	4.441693
7.108426	4.435348
7.133456	4.429004
7.158486	4.422660
7.183515	4.416315
7.208545	4.409971
7.233575	4.403626
7.258604	4.397281
7.283634	4.390937
7.308664	4.384471
7.333693	4.378004
7.358723	4.371538
7.383753	4.365071
7.408782	4.358605
7.433812	4.352138
7.458842	4.345672
7.483871	4.339205
7.508901	4.332739
7.533931	4.326269
7.558961	4.319432
7.583990	4.312595
7.609020	4.305758
7.634050	4.298921
7.659079	4.292084
7.684109	4.285247
7.709139	4.278409
7.734168	4.271572
7.759198	4.264734
7.784228	4.257903
7.809257	4.251356
7.834287	4.244809
7.859317	4.238263
7.884346	4.231716
7.909376	4.225170
7.934406	4.218623
7.959435	4.212077
7.984465	4.205531
8.009495	4.198984
8.034524	4.192448
8.059554	4.186212
8.084584	4.179975
8.109613	4.173739
8.134643	4.167502
8.159673	4.161266
8.184702	4.155030
8.209732	4.148794
8.234762	4.142558
8.259791	4.136322
8.284821	4.130090
8.309851	4.123934
8.334880	4.117778
8.359910	4.111621
8.384940	4.105465
8.409969	4.099309
8.434999	4.093153
8.460029	4.086996
8.485058	4.080840
8.510088	4.074684
8.535118	4.068537
8.560147	4.062548
8.585177	4.056560
8.610207	4.050572
8.635236	4.044584
8.660266	4.038596
8.685296	4.032608
8.710325	4.026620
8.735355	4.020631
8.760385	4.014643
8.785414	4.008652
8.810444	4.002617
8.835474	3.996582
8.860503	3.990547
8.885533	3.984512
8.910563	3.978477
8.935592	3.972441
8.960622	3.966406
8.985652	3.960371
9.010681	3.954336
9.035711	3.948311
9.060741	3.942413
9.085770	3.936514
9.110800	3.930616
9.135830	3.924718
9.160859	3.918820
9.185889	3.912922
9.210919	3.907024
9.235948	3.901126
9.260978	3.895228
9.286008	3.889321
9.311037	3.883322
9.336067	3.877324
9.361097	3.871326
9.386126	3.865328
9.411156	3.859329
9.436186	3.853331
9.461215	3.847333
9.486245	3.841334
9.511275	3.835336
9.536304	3.829312
9.561334	3.823065
9.586364	3.816818
9.611393	3.810570
9.636423	3.804323
9.661453	3.798076
9.686483	3.791828
9.711512	3.785581
9.736542	3.779334
9.761572	3.773086
9.786601	3.766882
9.811631	3.761008
9.836661	3.755135
9.861690	3.749262
9.886720	3.743389
9.911750	3.737517
9.936779	3.731644
9.961809	3.725772
9.986839	3.719899
10.011868	3.714027
10.036898	3.708163
10.061928	3.702351
10.086957	3.696538
10.111987	3.690726
10.137017	3.684914
10.162046	3.679101
10.187076	3.673289
10.212106	3.667476
10.237135	3.661664
10.262165	3.655851
10.287195	3.650052
10.312224	3.644338
10.337254	3.638624
10.362284	3.632910
10.387313	3.627196
10.412343	3.621482
10.437373	3.615768
10.462402	3.610054
10.487432	3.604340
10.512462	3.598625
10.537491	3.592874
10.562521	3.586911
10.587551	3.580948
10.612580	3.574984
10.637610	3.569021
10.662640	3.563058
10.687669	3.557095
10.712699	3.551132
10.737729	3.545168
10.762758	3.539205
10.787788	3.533299
10.812818	3.527690
10.837847	3.522081
10.862877	3.516473
10.887907	3.510864
10.912936	3.505255
10.937966	3.499647
10.962996	3.494038
10.988025	3.488430
11.013055	3.482821
11.038085	3.477223
11.063114	3.471676
11.088144	3.466128
11.113174	3.460580
11.138203	3.455033
11.163233	3.449485
11.188263	3.443937
11.213292	3.438390
11.238322	3.432842
11.263352	3.427295
11.288381	3.421795
11.313411	3.416507
11.338441	3.411218
11.363470	3.405929
11.388500	3.400640
11.413530	3.395351
11.438559	3.390062
11.463589	3.384774
11.488619	3.379485
11.513648	3.374196
11.538678	3.368941
11.563708	3.363821
11.588737	3.358702
11.613767	3.353583
11.638797	3.348464
11.663826	3.343344
11.688856	3.338225
11.713886	3.333106
11.738915	3.327987
11.763945	3.322868
11.788975	3.317793
11.814005	3.312882
11.839034	3.307971
11.864064	3.303060
11.889094	3.298150
11.914123	3.293239
11.939153	3.288329
11.964183	3.283418
11.989212	3.278508
12.014242	3.273597
12.039272	3.268687
12.064301	3.263776
12.089331	3.258866
12.114361	3.253955
12.139390	3.249044
12.164420	3.244133
12.189450	3.239223
12.214479	3.234312
12.239509	3.229400
12.264539	3.224489
12.289568	3.219589
12.314598	3.214727
12.339628	3.209864
12.364657	3.205002
12.389687	3.200139
12.414717	3.195277
12.439746	3.190414
12.464776	3.185551
12.489806	3.180689
12.514835	3.175826
12.539865	3.170941
12.564895	3.165988
12.589924	3.161034
12.614954	3.156081
12.639984	3.151128
12.665013	3.146175
12.690043	3.141221
12.715073	3.136268
12.740102	3.131315
12.765132	3.126362
12.790162	3.121442
12.815191	3.116622
12.840221	3.111802
12.865251	3.106983
12.890280	3.102163
12.915310	3.097343
12.940340	3.092523
12.965369	3.087704
12.990399	3.082884
13.015429	3.078065
13.040458	3.073270
13.065488	3.068544
13.090518	3.063817
13.115547	3.059090
13.140577	3.054364
13.165607	3.049637
13.190636	3.044910
13.215666	3.040184
13.240696	3.035457
13.265725	3.030730
13.290755	3.026052
13.315785	3.021500
13.340814	3.016947
13.365844	3.012395
13.390874	3.007842
13.415903	3.003290
13.440933	2.998737
13.465963	2.994185
13.490992	2.989632
13.516022	2.985080
13.541052	2.980478
13.566081	2.975757
13.591111	2.971036
13.616141	2.966315
13.641170	2.961594
13.666200	2.956873
13.691230	2.952152
13.716259	2.947432
13.741289	2.942711
13.766319	2.937990
13.791348	2.933312
13.816378	2.928733
13.841408	2.924154
13.866437	2.919575
13.891467	2.914996
13.916497	2.910416
13.941527	2.905837
13.966556	2.901258
13.991586	2.896679
14.016616	2.892100
14.041645	2.887543
14.066675	2.883032
14.091705	2.878522
14.116734	2.874011
14.141764	2.869501
14.166794	2.864991
14.191823	2.860480
14.216853	2.855970
14.241883	2.851459
14.266912	2.846949
14.291942	2.842491
14.316972	2.838143
14.342001	2.833795
14.367031	2.829447
14.392061	2.825100
14.417090	2.820752
14.442120	2.816404
14.467150	2.812057
14.492179	2.807709
14.517209	2.803362
14.542239	2.799016
14.567268	2.794673
14.592298	2.790330
14.617328	2.785986
14.642357	2.781643
14.667387	2.777300
14.692417	2.772957
14.717446	2.768614
14.742476	2.764271
14.767506	2.759928
14.792535	2.755686
14.817565	2.751633
14.842595	2.747580
14.867624	2.743527
14.892654	2.739474
14.917684	2.735421
14.942713	2.731368
14.967743	2.727315
14.992773	2.723262
15.017802	2.719209
15.042832	2.715158
15.067862	2.711108
15.092891	2.707058
15.117921	2.703007
15.142951	2.698957
15.167980	2.694907
15.193010	2.690857
15.218040	2.686807
15.243069	2.682757
15.268099	2.678707
15.293129	2.674626
15.318158	2.670492
15.343188	2.666359
15.368218	2.662225
15.393247	2.658092
15.418277	2.653958
15.443307	2.649825
15.468336	2.645691
15.493366	2.641558
15.518396	2.637425
15.543425	2.633261
15.568455	2.629049
15.593485	2.624837
15.618514	2.620625
15.643544	2.616413
15.668574	2.612201
15.693603	2.607989
15.718633	2.603777
15.743663	2.599565
15.768692	2.595353
15.793722	2.591121
15.818752	2.586860
15.843781	2.582599
15.868811	2.578338
15.893841	2.574076
15.918870	2.569815
15.943900	2.565554
15.968930	2.561293
15.993959	2.557031
16.018989	2.552770
16.044019	2.548594
16.069049	2.544542
16.094078	2.540490
16.119108	2.536438
16.144138	2.532386
16.169167	2.528334
16.194197	2.524282
16.219227	2.520230
16.244256	2.516178
16.269286	2.512126
16.294316	2.508180
16.319345	2.504382
16.344375	2.500584
16.369405	2.496785
16.394434	2.492987
16.419464	2.489189
16.444494	2.485391
16.469523	2.481593
16.494553	2.477794
16.519583	2.473996
16.544612	2.470273
16.569642	2.466649
16.594672	2.463024
16.619701	2.459400
16.644731	2.455776
16.669761	2.452151
16.694790	2.448527
16.719820	2.444903
16.744850	2.441278
16.769879	2.437654
16.794909	2.434039
16.819939	2.430434
16.844968	2.426830
16.869998	2.423225
16.895028	2.419621
16.920057	2.416016
16.945087	2.412412
16.970117	2.408807
16.995146	2.405203
17.020176	2.401598
17.045206	2.397987
17.070235	2.394368
17.095265	2.390749
17.120295	2.387130
17.145324	2.383511
17.170354	2.379892
17.195384	2.376273
17.220413	2.372654
17.245443	2.369035
17.270473	2.365416
17.295502	2.361805
17.320532	2.358204
17.345562	2.354603
17.370591	2.351003
17.395621	2.347402
17.420651	2.343801
17.445680	2.340200
17.470710	2.336599
17.495740	2.332999
17.520769	2.329398
17.545799	2.325506
17.570829	2.321295
17.595858	2.317085
17.620888	2.312874
17.645918	2.308664
17.670947	2.304454
17.695977	2.300245
17.721007	2.296035
17.746036	2.291826
17.771066	2.287617
17.796096	2.246978
17.821125	2.168255
17.846155	2.089532
17.871185	2.010809
17.896214	1.932085
17.921244	1.853361
17.946274	1.774637
17.971303	1.695913
17.996333	1.617189
